"period","censusdate","era","oera","plot_type","oplottype","total_e","dipo_e","smgran_e","tinygran_e","pb_e","pp_e","nplots","total_e_ma","dipo_e_ma","smgran_e_ma","pb_e_ma","pp_e_ma","tinygran_e_ma"
357,2008-02-09,"b_pre_reorg","b_pre_reorg","CC","CC",969.512981578447,833.9820643513,135.530917227148,42.2166913740114,93.3142258531365,10.8422825137491,4,1135.1115589819,755.031659666661,380.079899315241,208.625568944762,111.663898070859,171.45433037048
357,2008-02-09,"b_pre_reorg","b_pre_reorg","EE","EE",581.06610902256,121.66470860655,459.40140041601,144.065410661724,315.335989754286,9.94481345165281,5,895.739506766952,45.218639307782,850.520867459169,615.185261514113,67.1269060675537,235.335605945056
358,2008-03-09,"b_pre_reorg","b_pre_reorg","CC","CC",988.097643706399,843.190785530893,144.906858175506,32.460829248787,112.446028926719,23.2893748806731,4,1060.209077173,792.708274822892,267.500802350107,159.138379594623,49.9928956379712,108.362422755483
358,2008-03-09,"b_pre_reorg","b_pre_reorg","EE","EE",676.589258774242,64.1677787710468,612.421480003196,280.003891194188,332.417588809007,28.9705395104561,5,782.111108633723,55.9132691029565,726.197839530766,491.611176684063,35.5669842516206,234.586662846703
359,2008-04-06,"b_pre_reorg","b_pre_reorg","CC","CC",1092.48856089786,860.162488144108,232.326072753751,177.697598547465,54.6284742062864,139.556601202837,4,1029.50098320493,810.342783583848,219.158199621083,117.894050689887,49.2779988276309,101.264148931196
359,2008-04-06,"b_pre_reorg","b_pre_reorg","EE","EE",691.440260481737,100.306175431791,591.134085049946,242.689769989731,348.444315060215,80.6664417242425,5,721.560616345133,69.2263782543011,652.334238090832,415.822583101782,31.9827226775021,236.51165498905
360,2008-05-03,"b_pre_reorg","b_pre_reorg","CC","CC",1373.22209525741,1013.12040626719,360.101688990217,305.973414839203,54.128274151014,244.842253403712,4,1045.52521817433,848.456160766663,197.069057407662,88.3551356525141,69.7550853334951,108.713921755148
360,2008-05-03,"b_pre_reorg","b_pre_reorg","EE","EE",418.335370033829,0,418.335370033829,169.663191212939,248.67217882089,110.525054476017,5,611.272776712339,63.4804092963202,547.792367416019,340.188665057594,41.3141125288946,207.603702358425
361,2008-06-07,"b_pre_reorg","b_pre_reorg","CC","CC",1329.47569130532,1032.40855798206,297.067133323269,279.7522009937,17.314932329569,212.997855975073,4,1094.68238835403,880.918804774246,213.763583579786,70.0804750705082,105.254727996007,143.683108509277
361,2008-06-07,"b_pre_reorg","b_pre_reorg","EE","EE",463.487005832967,0,463.487005832967,210.820161080006,252.66684475296,166.511881703215,5,566.084572284969,60.4636823318638,505.620889953105,305.386169109417,66.1031218109306,200.234720843688
362,2008-06-28,"b_pre_reorg","b_pre_reorg","CC","CC",1380.3819465935,1022.36184643858,358.020100154927,319.798772870703,38.2213272842234,259.905163903912,4,1188.86315322316,934.20435811902,254.658795104136,61.6755437918247,148.572255313326,192.983251312312
362,2008-06-28,"b_pre_reorg","b_pre_reorg","EE","EE",509.633059563716,0,509.633059563716,187.641287194043,321.991772369672,159.492900423666,5,556.758510618175,47.689777134898,509.068733483277,303.254781594505,92.6852718815416,205.813951888772
363,2008-07-26,"b_pre_reorg","b_pre_reorg","CC","CC",643.706905207285,603.268200630506,40.4387045767794,40.4387045767794,0,33.0471777554792,4,1134.56214049463,895.752047498888,238.810092995742,46.1231728163019,152.273071186948,192.68692017944
363,2008-07-26,"b_pre_reorg","b_pre_reorg","EE","EE",238.561850725651,0,238.561850725651,140.493259962275,98.0685907633766,135.595857535865,5,499.67446756869,27.412325700473,472.262141868217,267.043548429354,113.627112562244,205.218593438864
364,2008-08-30,"b_pre_reorg","b_pre_reorg","CC","CC",677.843257398647,506.632154850529,171.211102548118,151.625464242973,19.5856383051446,151.625464242973,4,1082.85307611,839.658942385494,243.19413372451,30.6464410460396,173.662419413998,212.547692678471
364,2008-08-30,"b_pre_reorg","b_pre_reorg","EE","EE",408.127542087622,0,408.127542087622,132.747582703895,275.379959383726,117.087640767029,5,454.93084812092,16.7176959052985,438.213152215622,257.537276858474,128.313296105006,180.675875357148
365,2008-09-27,"b_pre_reorg","b_pre_reorg","CC","CC",616.52318643542,450.511063913993,166.012122521426,145.983021231285,20.0291012901413,138.591494409985,4,1003.5255136996,771.383705013808,232.141808685789,24.8798788933487,173.501568281856,207.261929792441
365,2008-09-27,"b_pre_reorg","b_pre_reorg","EE","EE",387.444902193699,0,387.444902193699,78.2091431243885,309.23575906931,67.8527753950475,5,404.264955072914,0,404.264955072914,251.002517526656,126.17768505014,153.262437546258
366,2008-10-26,"b_pre_reorg","b_pre_reorg","CC","CC",582.015524426026,541.399926806664,40.6155976193617,40.6155976193617,0,40.6155976193617,4,871.657751894367,692.76362510372,178.894126790647,15.8584998681797,139.463792317797,163.035626922467
366,2008-10-26,"b_pre_reorg","b_pre_reorg","EE","EE",312.987973282212,0,312.987973282212,35.4879019160088,277.500071366203,25.1315341866679,5,386.707055614311,0,386.707055614311,255.807166284208,111.945431668582,130.899889330103
367,2008-11-22,"b_pre_reorg","b_pre_reorg","CC","CC",765.414428634259,725.48190008398,39.9325285502789,5.45337939474194,34.479149155537,0,4,777.64754144919,641.609182120708,136.038359328482,18.7192026725077,103.964149655285,117.319156655974
367,2008-11-22,"b_pre_reorg","b_pre_reorg","EE","EE",241.11755654953,0,241.11755654953,32.0354853260946,209.082071223435,16.9102422998449,5,349.645480733738,0,349.645480733738,248.543037362621,87.0118251013534,101.102443371118
368,2008-12-20,"b_pre_reorg","b_pre_reorg","CC","CC",754.361939571478,721.18755069653,33.1743888749486,0,33.1743888749486,0,4,673.310873612186,591.4134661637,81.8974074484855,17.8780462709619,60.6466223379665,64.0193611775236
