"newmoonnumber","period","censusdate","month","day","year","treatment","plot","stake","species","sex","hfl","wgt","tag","ltag","heske_trtmnt","granivore","omnivore","small_granivore","grasshopper","dipo","type","energy"
64,61,1982-08-15,8,16,1982,"control",8,16,"DS","M",49,129,"3191","0","control",1,0,FALSE,FALSE,TRUE,"dipo",217.798331856724
64,61,1982-08-15,8,16,1982,"control",8,17,"PM","F",20,23,"3667","0","control",1,0,TRUE,FALSE,FALSE,"small_granivore",59.7596635079572
64,61,1982-08-15,8,16,1982,"control",13,17,"DM","M",36,41,"3311","0","exclosure_1988",1,0,FALSE,FALSE,TRUE,"dipo",92.1934694843704
64,61,1982-08-15,8,16,1982,"control",13,21,"DS","F",50,124,"3591","0","exclosure_1988",1,0,FALSE,FALSE,TRUE,"dipo",211.43580339025
64,61,1982-08-15,8,16,1982,"exclosure",3,22,"PP","F",21,14,"6002","0","exclosure_1977",1,0,TRUE,FALSE,FALSE,"small_granivore",41.1820814442282
64,61,1982-08-15,8,16,1982,"exclosure",3,23,"RM","M",18,14,"6011","0","exclosure_1977",1,0,TRUE,FALSE,FALSE,"small_granivore",41.1820814442282
64,61,1982-08-15,8,16,1982,"control",14,23,"DM","M",36,55,"3417","0","control",1,0,FALSE,FALSE,TRUE,"dipo",114.91700096632
64,61,1982-08-15,8,16,1982,"control",14,25,"DM","M",35,40,"4910","0","control",1,0,FALSE,FALSE,TRUE,"dipo",90.5018089336904
64,61,1982-08-15,8,16,1982,"control",8,27,"PE","F",19,21,"3588","0","control",1,0,TRUE,FALSE,FALSE,"small_granivore",55.8183169587426
64,61,1982-08-15,8,16,1982,"control",8,31,"PE","M",20,21,"3128","3348","control",1,0,TRUE,FALSE,FALSE,"small_granivore",55.8183169587426
64,61,1982-08-15,8,16,1982,"exclosure",15,31,"PF","M",16,5,"8502","0","exclosure_1977",1,0,TRUE,FALSE,FALSE,"small_granivore",19.0256616765792
64,61,1982-08-15,8,16,1982,"control",14,34,"DS","M",49,101,"3549","0","control",1,0,FALSE,FALSE,TRUE,"dipo",181.281420966944
64,61,1982-08-15,8,16,1982,"exclosure",3,35,"PF","M",16,8,"2996","0","exclosure_1977",1,0,TRUE,FALSE,FALSE,"small_granivore",27.0663539374619
64,61,1982-08-15,8,16,1982,"control",14,36,"PF","M",14,5,"3998","0","control",1,0,TRUE,FALSE,FALSE,"small_granivore",19.0256616765792
64,61,1982-08-15,8,16,1982,"exclosure",3,37,"PF","M",16,9,"8500","0","exclosure_1977",1,0,TRUE,FALSE,FALSE,"small_granivore",29.5661072852007
64,61,1982-08-15,8,16,1982,"control",8,37,"PP","F",20,13,"5004","0","control",1,0,TRUE,FALSE,FALSE,"small_granivore",38.9555894891111
64,61,1982-08-15,8,16,1982,"control",13,37,"DO","F",34,42,"3590","0","exclosure_1988",1,0,FALSE,FALSE,TRUE,"dipo",93.8748452722046
64,61,1982-08-15,8,16,1982,"control",8,44,"DM","F",35,32,"3652","0","control",1,0,FALSE,FALSE,TRUE,"dipo",76.5552096446982
64,61,1982-08-15,8,16,1982,"control",14,44,"DM","M",34,28,"3669","0","control",1,0,FALSE,FALSE,TRUE,"dipo",69.259729318276
64,61,1982-08-15,8,16,1982,"control",14,45,"DM","F",33,34,"2739","0","control",1,0,FALSE,FALSE,TRUE,"dipo",80.1164051605652
64,61,1982-08-15,8,16,1982,"exclosure",15,45,"NA","M",33,178,"3379","0","exclosure_1977",0,1,FALSE,FALSE,FALSE,"other",277.285569194229
64,61,1982-08-15,8,16,1982,"control",8,46,"DO","M",37,50,"3644","0","control",1,0,FALSE,FALSE,TRUE,"dipo",106.989157998308
64,61,1982-08-15,8,16,1982,"exclosure",3,51,"RM","F",16,14,"4996","0","exclosure_1977",1,0,TRUE,FALSE,FALSE,"small_granivore",41.1820814442282
64,61,1982-08-15,8,16,1982,"control",14,52,"DM","M",34,31,"3668","0","control",1,0,FALSE,FALSE,TRUE,"dipo",74.7538451814357
64,61,1982-08-15,8,16,1982,"exclosure",15,54,"PM","M",20,21,"3581","0","exclosure_1977",1,0,TRUE,FALSE,FALSE,"small_granivore",55.8183169587426
64,61,1982-08-15,8,16,1982,"exclosure",3,56,"PF","M",16,7,"8501","0","exclosure_1977",1,0,TRUE,FALSE,FALSE,"small_granivore",24.4870121320489
64,61,1982-08-15,8,16,1982,"exclosure",15,57,"NA","F",30,137,"3582","0","exclosure_1977",0,1,FALSE,FALSE,FALSE,"other",227.851919598639
64,61,1982-08-15,8,16,1982,"control",8,62,"DS","M",50,103,"3587","0","control",1,0,FALSE,FALSE,TRUE,"dipo",183.967109573043
64,61,1982-08-15,8,16,1982,"control",13,63,"DM","F",35,43,"3223","0","exclosure_1988",1,0,FALSE,FALSE,TRUE,"dipo",95.5462415403459
64,61,1982-08-15,8,16,1982,"control",13,67,"DM","M",34,49,"3059","0","exclosure_1988",1,0,FALSE,FALSE,TRUE,"dipo",105.380274719703
64,61,1982-08-15,8,16,1982,"control",8,72,"PP","F",21,16,"6004","0","control",1,0,TRUE,FALSE,FALSE,"small_granivore",45.52
64,61,1982-08-15,8,16,1982,"control",14,72,"OL","F",20,46,"4903","3171","control",0,1,FALSE,TRUE,FALSE,"grasshopper",100.503373641219
64,61,1982-08-15,8,16,1982,"exclosure",15,72,"PF","M",15,8,"1997","0","exclosure_1977",1,0,TRUE,FALSE,FALSE,"small_granivore",27.0663539374619
64,61,1982-08-15,8,16,1982,"control",13,73,"NA","F",31,162.5347738,"3671","0","exclosure_1988",0,1,FALSE,FALSE,FALSE,"other",259.013252088968
64,61,1982-08-15,8,16,1982,"control",14,74,"OL","M",20,40,"3416","0","control",0,1,FALSE,TRUE,FALSE,"grasshopper",90.5018089336904
64,61,1982-08-15,8,16,1982,"exclosure",15,77,"OT","F",20,23,"3583","0","exclosure_1977",0,1,FALSE,TRUE,FALSE,"grasshopper",59.7596635079572
65,62,1982-09-18,9,18,1982,"control",11,21,"DM","F",35,34,"3651","0","control",1,0,FALSE,FALSE,TRUE,"dipo",80.1164051605652
65,62,1982-09-18,9,18,1982,"control",8,21,"PF","M",15,7,"8511","0","control",1,0,TRUE,FALSE,FALSE,"small_granivore",24.4870121320489
65,62,1982-09-18,9,18,1982,"exclosure",3,22,"PP","M",21,14,"6002","0","exclosure_1977",1,0,TRUE,FALSE,FALSE,"small_granivore",41.1820814442282
65,62,1982-09-18,9,18,1982,"control",14,22,"DM","M",35,37,"3668","0","control",1,0,FALSE,FALSE,TRUE,"dipo",85.3617990345562
65,62,1982-09-18,9,18,1982,"control",11,24,"DS","F",48,106,"3107","0","control",1,0,FALSE,FALSE,TRUE,"dipo",187.971352090702
65,62,1982-09-18,9,18,1982,"control",6,26,"DS","F",50,131,"3633","0","exclosure_1988",1,0,FALSE,FALSE,TRUE,"dipo",220.325994010241
65,62,1982-09-18,9,18,1982,"control",12,26,"DM","F",37,42,"3446","0","control",1,0,FALSE,FALSE,TRUE,"dipo",93.8748452722046
65,62,1982-09-18,9,18,1982,"control",14,27,"DM","M",34,43,"4910","0","control",1,0,FALSE,FALSE,TRUE,"dipo",95.5462415403459
65,62,1982-09-18,9,18,1982,"control",13,27,"DS","M",49,102,"3154","3245","exclosure_1988",1,0,FALSE,FALSE,TRUE,"dipo",182.625910941356
65,62,1982-09-18,9,18,1982,"exclosure",3,31,"PE","M",20,19,"3578","0","exclosure_1977",1,0,TRUE,FALSE,FALSE,"small_granivore",51.7818386467049
65,62,1982-09-18,9,18,1982,"control",11,31,"DS","M",51,105,"3593","0","control",1,0,FALSE,FALSE,TRUE,"dipo",186.639791531301
65,62,1982-09-18,9,18,1982,"control",14,33,"DS","M",48,112,"3549","0","control",1,0,FALSE,FALSE,TRUE,"dipo",195.896097056391
65,62,1982-09-18,9,18,1982,"control",14,36,"OL","M",17,11,"3161","0","control",0,1,FALSE,TRUE,FALSE,"grasshopper",34.3681994673169
65,62,1982-09-18,9,18,1982,"control",11,37,"DM","M",34,36,"3387","0","control",1,0,FALSE,FALSE,TRUE,"dipo",83.6255798186177
65,62,1982-09-18,9,18,1982,"control",8,37,"DM","F",35,33,"3652","0","control",1,0,FALSE,FALSE,TRUE,"dipo",78.3425532205783
65,62,1982-09-18,9,18,1982,"control",12,41,"DS","M",53,127,"3398","0","control",1,0,FALSE,FALSE,TRUE,"dipo",215.260853108505
65,62,1982-09-18,9,18,1982,"control",8,41,"DO","F",39,54,"3381","0","control",1,0,FALSE,FALSE,TRUE,"dipo",113.346362215707
65,62,1982-09-18,9,18,1982,"control",11,43,"DM","M",36,44,"2732","0","control",1,0,FALSE,FALSE,TRUE,"dipo",97.2079476020466
65,62,1982-09-18,9,18,1982,"control",11,44,"NA","F",32,189,"3015","0","control",0,1,FALSE,FALSE,FALSE,"other",290.040482896577
65,62,1982-09-18,9,18,1982,"control",14,44,"OL","M",21,34,"3646","0","control",0,1,FALSE,TRUE,FALSE,"grasshopper",80.1164051605652
65,62,1982-09-18,9,18,1982,"control",11,45,"DS","F",48,109,"3173","3342","control",1,0,FALSE,FALSE,TRUE,"dipo",191.94735847201
65,62,1982-09-18,9,18,1982,"control",6,51,"DS","M",52,117,"3344","0","exclosure_1988",1,0,FALSE,FALSE,TRUE,"dipo",202.41918070181
65,62,1982-09-18,9,18,1982,"control",14,53,"PM","M",21,23,"3581","0","control",1,0,TRUE,FALSE,FALSE,"small_granivore",59.7596635079572
65,62,1982-09-18,9,18,1982,"control",14,54,"OL","F",20,39,"4903","0","control",0,1,FALSE,TRUE,FALSE,"grasshopper",88.7995411482622
65,62,1982-09-18,9,18,1982,"control",6,57,"DM","M",37,49,"3185","0","exclosure_1988",1,0,FALSE,FALSE,TRUE,"dipo",105.380274719703
65,62,1982-09-18,9,18,1982,"control",8,61,"DS","M",49,116,"2587","0","control",1,0,FALSE,FALSE,TRUE,"dipo",201.120230609569
65,62,1982-09-18,9,18,1982,"exclosure",3,65,"PF","M",16,8,"8500","0","exclosure_1977",1,0,TRUE,FALSE,FALSE,"small_granivore",27.0663539374619
65,62,1982-09-18,9,18,1982,"control",12,65,"DM","M",37,48,"2992","0","control",1,0,FALSE,FALSE,TRUE,"dipo",103.763161232581
