"period","censusdate","era","plot_type","total_e","dipo_e","smgran_e","pb_e","pp_e","nplots"
256,1999-06-12,"b_pre_cpt","CE",517.608812494463,417.400583997279,100.208228497184,69.2202551335401,30.9879733636444,3
256,1999-06-12,"b_pre_cpt","EE",487.657509940543,0,487.657509940543,460.417080386678,27.240429553865,3
257,1999-09-11,"b_pre_cpt","CC",67.7305552501423,54.2773808620721,13.4531743880702,0,13.4531743880702,4
257,1999-09-11,"b_pre_cpt","CE",62.178153167683,0,62.178153167683,29.0287749955069,33.149378172176,3
257,1999-09-11,"b_pre_cpt","EE",186.951399070216,0,186.951399070216,135.230812989369,51.7205860808464,3
258,1999-10-09,"b_pre_cpt","CC",273.574602832128,205.95881272665,67.615790105479,0,67.615790105479,4
258,1999-10-09,"b_pre_cpt","CE",237.634120449398,91.9816761640001,145.652444285398,65.748029412981,79.904414872417,3
258,1999-10-09,"b_pre_cpt","EE",218.790639198661,0,218.790639198661,145.818147719507,72.9724914791534,3
259,1999-11-06,"b_pre_cpt","CC",510.963549457103,387.170878356474,123.792671100629,0,123.792671100629,4
259,1999-11-06,"b_pre_cpt","CE",329.333549800561,33.501124547073,295.832425253488,170.752975537364,125.079449716125,3
259,1999-11-06,"b_pre_cpt","EE",339.991057598366,0,339.991057598366,249.770396226489,90.2206613718773,3
260,1999-12-05,"b_pre_cpt","CC",243.916299449874,130.595904313566,113.320395136308,16.3788077777444,96.9415873585635,4
260,1999-12-05,"b_pre_cpt","CE",359.351463609712,32.9534126714513,326.398050938261,248.798515308376,66.1434691407797,3
260,1999-12-05,"b_pre_cpt","EE",289.993929886494,0,289.993929886494,232.32627197232,57.6676579141744,3
261,2000-01-08,"b_pre_cpt","CC",425.439866149252,276.847417889654,148.592448259598,70.5818934928975,78.0105547667,4
261,2000-01-08,"b_pre_cpt","CE",479.808260400069,171.549976145176,308.258284254893,249.058378058396,59.1999061964974,3
261,2000-01-08,"b_pre_cpt","EE",250.238184165076,0,250.238184165076,190.284990509436,59.9531936556402,3
262,2000-02-05,"b_pre_cpt","CC",418.469487757985,201.121493130238,217.347994627747,139.521205962803,77.8267886649442,4
262,2000-02-05,"b_pre_cpt","CE",844.545779901945,282.404543004639,562.141236897305,462.140304540682,100.000932356623,3
262,2000-02-05,"b_pre_cpt","EE",276.627424678582,0,276.627424678582,216.695665092752,59.9317595858295,3
264,2000-04-29,"b_pre_cpt","CC",506.878549508814,360.205588535962,146.672960972852,50.2963586970394,96.3766022758123,4
264,2000-04-29,"b_pre_cpt","CE",683.310420699641,269.24986016835,414.060560531291,339.675763475116,74.3847970561752,3
264,2000-04-29,"b_pre_cpt","EE",280.429756553083,0,280.429756553083,211.501233415441,68.928523137642,3
265,2000-06-03,"b_pre_cpt","CC",664.955431481156,341.021031493241,323.934399987915,128.905967431718,195.028432556197,4
265,2000-06-03,"b_pre_cpt","CE",566.066437855545,187.901626939122,378.164810916423,275.320706084066,102.844104832357,3
265,2000-06-03,"b_pre_cpt","EE",509.029249202877,0,509.029249202877,349.813586117764,159.215663085113,3
266,2000-07-01,"b_pre_cpt","CC",661.970907755141,287.216812329456,374.754095425685,131.559780920203,243.194314505482,4
266,2000-07-01,"b_pre_cpt","CE",640.110830608176,102.519044602681,537.591786005495,430.717236597101,106.874549408395,3
266,2000-07-01,"b_pre_cpt","EE",491.74253713204,0,491.74253713204,304.018564459639,187.723972672401,3
268,2000-08-25,"b_pre_cpt","CC",667.299611976712,323.509009478652,343.790602498061,228.486964738239,115.303637759821,4
268,2000-08-25,"b_pre_cpt","CE",632.388993210714,170.452949280875,461.93604392984,309.937048817908,151.998995111932,3
268,2000-08-25,"b_pre_cpt","EE",370.244142283852,0,370.244142283852,207.036700393901,163.207441889951,3
269,2000-09-30,"b_pre_cpt","CC",525.10868346479,399.302489418927,125.806194045863,125.806194045863,0,4
269,2000-09-30,"b_pre_cpt","CE",574.743836122392,236.020378139493,338.723457982899,257.738794222829,80.9846637600702,3
269,2000-09-30,"b_pre_cpt","EE",238.583400230164,0,238.583400230164,197.414466567386,41.1689336627786,3
270,2000-11-25,"b_pre_cpt","CC",423.883930319632,378.595627619826,45.2883026998061,35.5494053275283,9.73889737227778,4
270,2000-11-25,"b_pre_cpt","CE",342.737975141736,135.055676331368,207.682298810367,175.53380515023,0,3
270,2000-11-25,"b_pre_cpt","EE",271.526049006138,0,271.526049006138,222.212528830286,11.4560664891056,3
271,2000-12-22,"b_pre_cpt","CC",346.507694120508,327.368891709333,19.1388024111745,19.1388024111745,0,4
271,2000-12-22,"b_pre_cpt","CE",314.51863087231,99.9496412872935,214.568989585016,214.568989585016,0,3
271,2000-12-22,"b_pre_cpt","EE",186.361282526027,0,186.361282526027,186.361282526027,0,3
274,2001-03-24,"b_pre_cpt","CC",546.045320559008,405.147803452598,140.897517106411,71.1542297566159,62.9766988654293,4
274,2001-03-24,"b_pre_cpt","CE",351.775347840665,146.778540778955,204.99680706171,85.7772560662616,99.9528205082541,3
274,2001-03-24,"b_pre_cpt","EE",150.730244786088,0,150.730244786088,120.484435407483,30.2458093786053,3
275,2001-04-21,"b_pre_cpt","CC",505.883808457244,455.189402926236,50.6944055310073,0,25.8841912026362,4
275,2001-04-21,"b_pre_cpt","CE",306.78458740357,188.782945546805,118.001641856764,53.4066043421056,56.4327001373092,3
275,2001-04-21,"b_pre_cpt","EE",176.090033052616,0,176.090033052616,92.5357906975212,73.6988732600283,3
276,2001-05-26,"b_pre_cpt","CC",740.55823371642,636.015344200286,104.542889516134,39.9765701492941,57.799730882474,4
276,2001-05-26,"b_pre_cpt","CE",314.030873252275,72.5177957135828,241.513077538693,189.090239527454,52.4228380112386,3
276,2001-05-26,"b_pre_cpt","EE",149.709313496784,0,149.709313496784,104.820476982481,35.8667185351492,3
279,2001-08-25,"b_pre_cpt","CC",850.017183331473,482.756101448576,367.261081882897,218.850226927302,117.833249656664,4
279,2001-08-25,"b_pre_cpt","CE",729.542627738266,183.769923104713,545.772704633553,275.363419959999,270.409284673554,3
279,2001-08-25,"b_pre_cpt","EE",485.213850030808,0,485.213850030808,293.19775615811,173.223534662422,3
280,2001-09-22,"b_pre_cpt","CC",775.837271830369,490.890127623975,284.947144206394,185.608008975564,91.3398298799972,4
280,2001-09-22,"b_pre_cpt","CE",708.807674443642,274.758493219363,434.049181224279,258.864617817645,175.184563406635,3
280,2001-09-22,"b_pre_cpt","EE",677.440523968965,37.2561448871574,640.184379081807,473.749601202222,150.555611372022,3
281,2001-10-13,"b_pre_cpt","CC",823.014221031807,539.73216756153,283.282053470277,199.904192749909,50.2096508643124,4
281,2001-10-13,"b_pre_cpt","CE",889.976635344635,419.282450531458,470.694184813177,327.303602511423,118.472633907941,3
281,2001-10-13,"b_pre_cpt","EE",538.360951998387,38.3056669887733,500.055285009614,350.73708044195,104.628523820885,3
282,2001-11-17,"b_pre_cpt","CC",820.297000437969,624.792480190484,195.504520247486,183.595145366813,11.9093748806731,4
282,2001-11-17,"b_pre_cpt","CE",696.591701814952,312.490226180859,384.101475634093,331.055306160651,15.1733333333333,3
282,2001-11-17,"b_pre_cpt","EE",589.721913495501,104.21596919378,485.505944301721,408.48594666889,31.7169895672337,3
285,2002-02-09,"b_pre_cpt","CC",634.566364415829,509.842014287453,124.724350128375,112.814975247702,11.9093748806731,4
285,2002-02-09,"b_pre_cpt","CE",767.282688024566,395.47712750534,371.805560519226,310.525564712551,31.0524998408975,3
285,2002-02-09,"b_pre_cpt","EE",811.444454146932,323.577406149466,487.867047997467,393.386962778551,0,3
286,2002-03-13,"b_pre_cpt","CC",898.893952767638,747.071377620534,151.822575147105,101.003546821458,37.2858513569153,4
286,2002-03-13,"b_pre_cpt","CE",806.5622603831,513.404208011615,293.158052371485,224.269532913652,68.8885194578328,3
286,2002-03-13,"b_pre_cpt","EE",611.245557169335,147.9427084026,463.302848766735,380.584671484674,47.5961560747979,3
287,2002-04-16,"b_pre_cpt","CC",846.404127191474,638.998645257066,207.405481934408,106.057453411213,88.4596870058173,4
287,2002-04-16,"b_pre_cpt","CE",910.441832919194,496.43206593968,414.009766979514,212.778485306653,201.231281672861,3
287,2002-04-16,"b_pre_cpt","EE",703.844104608998,177.640651009701,526.203453599297,331.72433535951,194.479118239787,3
288,2002-05-15,"b_pre_cpt","CC",863.986769368232,658.191940063709,205.794829304523,90.7539004303437,77.6200904249472,4
288,2002-05-15,"b_pre_cpt","CE",986.597724885665,436.924794332674,549.672930552991,367.903176724852,147.990314841891,3
288,2002-05-15,"b_pre_cpt","EE",905.297794191136,267.398159153734,637.899635037402,392.220251927944,235.824014014391,3
289,2002-06-15,"b_pre_cpt","CC",832.95677708386,497.152683382467,335.804093701393,184.447284376038,136.906761459959,4
289,2002-06-15,"b_pre_cpt","CE",825.474106015628,330.035173936127,495.438932079502,370.013118534528,104.22043555835,3
289,2002-06-15,"b_pre_cpt","EE",823.139850331453,135.256881011859,687.882969319594,436.150450739369,233.126412927311,3
290,2002-07-13,"b_pre_cpt","CC",818.246548399816,405.129090926241,413.117457473575,187.823049410095,205.719480642398,4
290,2002-07-13,"b_pre_cpt","CE",741.166380967432,277.598396378758,463.567984588675,274.288023733556,170.013230367924,3
290,2002-07-13,"b_pre_cpt","EE",845.736887190513,69.0737358293038,776.66315136121,498.841708175042,277.821443186167,3
291,2002-09-08,"b_pre_cpt","CC",375.950246070315,274.356700653983,101.593545416333,54.6996191555467,46.8939262607862,4
291,2002-09-08,"b_pre_cpt","CE",263.407298765788,102.103497455455,161.303801310333,78.8807480823239,82.423053228009,3
291,2002-09-08,"b_pre_cpt","EE",298.031296251757,32.1411701487745,265.890126102982,203.445026120181,62.4450999828009,3
292,2002-10-05,"b_pre_cpt","CC",680.784830004309,390.270980650245,290.513849354064,155.332037638084,127.182506365148,4
