"period","brown_trtmnt","type","year","month","nind","biomass","energy"
13,"dipo_present","small_omnivore",1978,7,1,22,57.8001914615828
14,"dipo_present","small_omnivore",1978,8,0,0,0
15,"dipo_present","small_omnivore",1978,9,2,44,115.510642358761
16,"dipo_present","small_omnivore",1978,10,0,0,0
17,"dipo_present","small_omnivore",1978,11,6,158,396.119811633151
18,"dipo_present","small_omnivore",1978,12,2,55,136.554025951706
19,"dipo_present","small_omnivore",1979,1,1,35,81.8772598057385
20,"dipo_present","small_omnivore",1979,2,2,68,160.180789463316
21,"dipo_present","small_omnivore",1979,3,0,0,0
22,"dipo_present","small_omnivore",1979,4,0,0,0
23,"dipo_present","small_omnivore",1979,5,0,0,0
24,"dipo_present","small_omnivore",1979,7,0,0,0
25,"dipo_present","small_omnivore",1979,7,2,55,135.407418465323
26,"dipo_present","small_omnivore",1979,8,4,103,258.608854338208
27,"dipo_present","small_omnivore",1979,9,3,78,195.962692937014
28,"dipo_present","small_omnivore",1979,10,3,64,168.902056108266
29,"dipo_present","small_omnivore",1979,11,2,71,165.502839624356
30,"dipo_present","small_omnivore",1980,1,3,83.12671977,205.849311638593
31,"dipo_present","small_omnivore",1980,2,3,106,247.232010598699
32,"dipo_present","small_omnivore",1980,3,0,0,0
33,"dipo_present","small_omnivore",1980,4,0,0,0
34,"dipo_present","small_omnivore",1980,5,1,24,61.6979448064802
35,"dipo_present","small_omnivore",1980,6,0,0,0
