"newmoonnumber","period","censusdate","month","day","year","treatment","plot","stake","species","sex","hfl","wgt","tag","ltag","small_granivore","dipo","type","energy"
4,4,1977-10-16,10,17,1977,"control",11,16,"DS","F",47,119.9275604,"0","0",FALSE,TRUE,"dipo",206.206103493489
4,4,1977-10-16,10,17,1977,"orig_exclosure",3,22,"DO","F",36,33,"0","0",FALSE,TRUE,"dipo",78.3425532205783
4,4,1977-10-16,10,17,1977,"control",4,23,"DM","F",36,42,"0","0",FALSE,TRUE,"dipo",93.8748452722046
4,4,1977-10-16,10,17,1977,"orig_exclosure",3,24,"DO","F",37,50,"0","0",FALSE,TRUE,"dipo",106.989157998308
4,4,1977-10-16,10,17,1977,"control",11,24,"DM","M",36,41,"0","0",FALSE,TRUE,"dipo",92.1934694843704
4,4,1977-10-16,10,17,1977,"control",17,25,"OT",NA,18,21,"0","0",FALSE,FALSE,"other",55.8183169587426
4,4,1977-10-16,10,17,1977,"control",11,26,"NA",NA,NA,162.5347738,"0","0",FALSE,FALSE,"other",259.013252088968
4,4,1977-10-16,10,17,1977,"orig_exclosure",19,26,"DM","M",36,49,"0","0",FALSE,TRUE,"dipo",105.380274719703
4,4,1977-10-16,10,17,1977,"control",17,32,"OT","M",19,24.05599577,"0","0",FALSE,FALSE,"other",61.8058765978623
4,4,1977-10-16,10,17,1977,"control",14,33,"DS","F",NA,119.9275604,"0","0",FALSE,TRUE,"dipo",206.206103493489
4,4,1977-10-16,10,17,1977,"control",17,33,"DS","F",48,119.9275604,"0","0",FALSE,TRUE,"dipo",206.206103493489
4,4,1977-10-16,10,17,1977,"orig_exclosure",19,35,"DM","F",36,44,"0","0",FALSE,TRUE,"dipo",97.2079476020466
4,4,1977-10-16,10,17,1977,"orig_exclosure",3,36,"DM","M",36,31,"0","0",FALSE,TRUE,"dipo",74.7538451814357
4,4,1977-10-16,10,17,1977,"orig_exclosure",21,41,"DM","M",37,40,"0","0",FALSE,TRUE,"dipo",90.5018089336904
4,4,1977-10-16,10,17,1977,"control",14,42,"DM","F",35,40,"0","0",FALSE,TRUE,"dipo",90.5018089336904
4,4,1977-10-16,10,17,1977,"orig_exclosure",19,46,"DM","M",36,42,"0","0",FALSE,TRUE,"dipo",93.8748452722046
4,4,1977-10-16,10,17,1977,"control",4,51,"DS","F",48,119.9275604,"0","0",FALSE,TRUE,"dipo",206.206103493489
