"newmoonnumber","period","censusdate","month","day","year","treatment","plot","stake","species","sex","hfl","wgt","tag","ltag","brown_trtmnt","granivore","omnivore","small_granivore","small_omnivore","dipo","offset_year","type","energy"
4,4,1977-10-16,10,18,1977,"control",12,27,"DM","M",36,40,"0","0","dipo_present",1,0,FALSE,FALSE,TRUE,1977,"dipo",90.5018089336904
4,4,1977-10-16,10,18,1977,"control",8,36,"DO","F",35,41,"0","0","dipo_present",1,0,FALSE,FALSE,TRUE,1977,"dipo",92.1934694843704
4,4,1977-10-16,10,18,1977,"control",12,51,"DM","M",37,41,"0","0","dipo_present",1,0,FALSE,FALSE,TRUE,1977,"dipo",92.1934694843704
4,4,1977-10-16,10,18,1977,"control",8,52,"DS","F",49,119.9275604,"0","0","dipo_present",1,0,FALSE,FALSE,TRUE,1977,"dipo",206.206103493489
4,4,1977-10-16,10,18,1977,"control",12,54,"DM","F",36,39,"0","0","dipo_present",1,0,FALSE,FALSE,TRUE,1977,"dipo",88.7995411482622
5,5,1977-11-12,11,13,1977,"control",14,12,"DM","M",36,44,"4878","0","dipo_present",1,0,FALSE,FALSE,TRUE,1977,"dipo",97.2079476020466
5,5,1977-11-12,11,13,1977,"control",11,22,"DS","F",52,126,"4884","0","dipo_present",1,0,FALSE,FALSE,TRUE,1977,"dipo",213.988372268528
5,5,1977-11-12,11,13,1977,"control",11,31,"DM","M",36,37,"4883","0","dipo_present",1,0,FALSE,FALSE,TRUE,1977,"dipo",85.3617990345562
5,5,1977-11-12,11,13,1977,"exclosure",21,35,"OL",NA,NA,31.12671977,"0","0","dipo_absent",0,1,FALSE,TRUE,FALSE,1977,"small_omnivore",74.9829086817215
5,5,1977-11-12,11,13,1977,"exclosure",21,42,"OL",NA,NA,31.12671977,"0","0","dipo_absent",0,1,FALSE,TRUE,FALSE,1977,"small_omnivore",74.9829086817215
5,5,1977-11-12,11,13,1977,"control",11,45,"DM","F",36,39,"4882","0","dipo_present",1,0,FALSE,FALSE,TRUE,1977,"dipo",88.7995411482622
5,5,1977-11-12,11,13,1977,"control",14,46,"DS","F",NA,113,"0","0","dipo_present",1,0,FALSE,FALSE,TRUE,1977,"dipo",197.206442630021
5,5,1977-11-12,11,13,1977,"control",11,47,"NA",NA,NA,162.5347738,"0","0","dipo_present",0,1,FALSE,FALSE,FALSE,1977,"other",259.013252088968
5,5,1977-11-12,11,13,1977,"control",11,52,"PF","M",15,7,"0","0","dipo_present",1,0,TRUE,FALSE,FALSE,1977,"small_granivore",24.4870121320489
5,5,1977-11-12,11,13,1977,"control",11,54,"DS","F",53,122,"4845","0","dipo_present",1,0,FALSE,FALSE,TRUE,1977,"dipo",208.872920612232
5,5,1977-11-12,11,13,1977,"control",14,54,"NA",NA,NA,162.5347738,"0","0","dipo_present",0,1,FALSE,FALSE,FALSE,1977,"other",259.013252088968
5,5,1977-11-12,11,13,1977,"control",14,63,"DM","M",36,43,"4876","0","dipo_present",1,0,FALSE,FALSE,TRUE,1977,"dipo",95.5462415403459
5,5,1977-11-12,11,13,1977,"control",14,64,"DM","F",36,40,"4877","0","dipo_present",1,0,FALSE,FALSE,TRUE,1977,"dipo",90.5018089336904
5,5,1977-11-12,11,13,1977,"exclosure",21,73,"OL",NA,NA,31.12671977,"0","0","dipo_absent",0,1,FALSE,TRUE,FALSE,1977,"small_omnivore",74.9829086817215
5,5,1977-11-12,11,14,1977,"control",12,17,"DM","M",37,40,"4833","0","dipo_present",1,0,FALSE,FALSE,TRUE,1977,"dipo",90.5018089336904
5,5,1977-11-12,11,14,1977,"control",12,21,"DS",NA,NA,119.9275604,"0","0","dipo_present",1,0,FALSE,FALSE,TRUE,1977,"dipo",206.206103493489
5,5,1977-11-12,11,14,1977,"control",12,24,"NA",NA,NA,162.5347738,"0","0","dipo_present",0,1,FALSE,FALSE,FALSE,1977,"other",259.013252088968
5,5,1977-11-12,11,14,1977,"control",8,33,"PF","F",9,6,"0","0","dipo_present",1,0,TRUE,FALSE,FALSE,1977,"small_granivore",21.8135175789677
5,5,1977-11-12,11,14,1977,"control",12,33,"DM","F",36,38,"4858","0","dipo_present",1,0,FALSE,FALSE,TRUE,1977,"dipo",87.0863249865208
5,5,1977-11-12,11,14,1977,"control",8,62,"DS","F",49,112,"4847","0","dipo_present",1,0,FALSE,FALSE,TRUE,1977,"dipo",195.896097056391
5,5,1977-11-12,11,14,1977,"control",8,63,"DO","F",34,39,"4870","0","dipo_present",1,0,FALSE,FALSE,TRUE,1977,"dipo",88.7995411482622
5,5,1977-11-12,11,NA,1977,"exclosure",3,NA,NA,NA,NA,NA,NA,NA,"dipo_absent",NA,NA,FALSE,FALSE,FALSE,1977,"other",NA
5,5,1977-11-12,11,NA,1977,"exclosure",15,NA,NA,NA,NA,NA,NA,NA,"dipo_absent",NA,NA,FALSE,FALSE,FALSE,1977,"other",NA
